gold_standard,operating_mode,metric,estimate,ci95_low,ci95_high,bootstrap_replicates,stratification
temporal_condition_label_drift,CAB-Core,unsupported_deterministic_reuse_rate,0.024167371375116934,0.022301216089803556,0.026117867165575303,1000,within_domain
temporal_condition_label_drift,CAB-Core,absolute_reduction_vs_ClinVar_baseline,0.34515408793264735,0.3396435921421889,0.3504957904583723,1000,within_domain
temporal_condition_label_drift,CAB-Core,relative_reduction_vs_ClinVar_baseline,0.9345636925743548,0.9295201472656652,0.9394063381728455,1000,within_domain
temporal_condition_label_drift,CAB-Core,false_restriction_rate,0.9099960597920141,0.9061981052037927,0.9139511363152094,1000,within_domain
temporal_condition_label_drift,CAB-Core,true_portable_allowed_direct_use_rate,0.09000394020798577,0.08604886368479063,0.09380189479620729,1000,within_domain
temporal_condition_label_drift,CAB-Conservative,unsupported_deterministic_reuse_rate,0.07453743685687558,0.07131898971000936,0.07764265668849392,1000,within_domain
temporal_condition_label_drift,CAB-Conservative,absolute_reduction_vs_ClinVar_baseline,0.2946914125350795,0.2889036482694107,0.3001309635173059,1000,within_domain
temporal_condition_label_drift,CAB-Conservative,relative_reduction_vs_ClinVar_baseline,0.7981257267862796,0.7899377291282011,0.8060594076891168,1000,within_domain
temporal_condition_label_drift,CAB-Conservative,false_restriction_rate,0.6852268424582963,0.6780578283686748,0.6919052940363947,1000,within_domain
temporal_condition_label_drift,CAB-Conservative,true_portable_allowed_direct_use_rate,0.31477315754170365,0.3080947059636054,0.3219421716313252,1000,within_domain
cross_environment_drift,CAB-Core,unsupported_deterministic_reuse_rate,0.0016833676333021517,0.001234798877455566,0.0021702525724976614,1000,within_domain
cross_environment_drift,CAB-Core,absolute_reduction_vs_ClinVar_baseline,0.14292823199251636,0.1389710009354537,0.14686716557530402,1000,within_domain
cross_environment_drift,CAB-Core,relative_reduction_vs_ClinVar_baseline,0.9883610656351024,0.98503537554927,0.9915936159347122,1000,within_domain
cross_environment_drift,CAB-Core,false_restriction_rate,0.9073923392157027,0.9039908823813859,0.9106611891795561,1000,within_domain
cross_environment_drift,CAB-Core,true_portable_allowed_direct_use_rate,0.09260766078429733,0.08933881082044395,0.09600911761861408,1000,within_domain
cross_environment_drift,CAB-Conservative,unsupported_deterministic_reuse_rate,0.027264396632366697,0.025518241347053324,0.029073900841908324,1000,within_domain
cross_environment_drift,CAB-Conservative,absolute_reduction_vs_ClinVar_baseline,0.11733859681945744,0.11371375116931712,0.12089990645463049,1000,within_domain
cross_environment_drift,CAB-Conservative,relative_reduction_vs_ClinVar_baseline,0.8114502188097158,0.7995306499121281,0.822701641468941,1000,within_domain
cross_environment_drift,CAB-Conservative,false_restriction_rate,0.7125768773541843,0.7070091490707197,0.717905859242119,1000,within_domain
cross_environment_drift,CAB-Conservative,true_portable_allowed_direct_use_rate,0.2874231226458158,0.2820941407578811,0.2929908509292804,1000,within_domain
any_meaning_drift,CAB-Core,unsupported_deterministic_reuse_rate,0.025701665107577175,0.023833489242282506,0.027578110383536015,1000,within_domain
any_meaning_drift,CAB-Core,absolute_reduction_vs_ClinVar_baseline,0.3603878765201122,0.3550598690364827,0.3666239476145931,1000,within_domain
any_meaning_drift,CAB-Core,relative_reduction_vs_ClinVar_baseline,0.9334309481890841,0.9286606882355145,0.9382598416304994,1000,within_domain
any_meaning_drift,CAB-Core,false_restriction_rate,0.9100246067071928,0.9062041527614652,0.9141043017996417,1000,within_domain
any_meaning_drift,CAB-Core,true_portable_allowed_direct_use_rate,0.08997539329280727,0.0858956982003582,0.09379584723853482,1000,within_domain
any_meaning_drift,CAB-Conservative,unsupported_deterministic_reuse_rate,0.08607494855004678,0.0825444340505145,0.08939195509822263,1000,within_domain
any_meaning_drift,CAB-Conservative,absolute_reduction_vs_ClinVar_baseline,0.29994353601496726,0.29500187090739005,0.30510757717492987,1000,within_domain
any_meaning_drift,CAB-Conservative,relative_reduction_vs_ClinVar_baseline,0.7770192594367396,0.7692003370159869,0.7853941322699549,1000,within_domain
any_meaning_drift,CAB-Conservative,false_restriction_rate,0.6953465247560269,0.6882334340078817,0.7027306221423313,1000,within_domain
any_meaning_drift,CAB-Conservative,true_portable_allowed_direct_use_rate,0.3046534752439732,0.2972693778576687,0.31176656599211827,1000,within_domain
conservative_composite_routing,CAB-Core,unsupported_deterministic_reuse_rate,0.02828377923292797,0.02656688493919551,0.03019644527595884,1000,within_domain
conservative_composite_routing,CAB-Core,absolute_reduction_vs_ClinVar_baseline,0.8286053507951356,0.8240224508886811,0.8333405051449954,1000,within_domain
conservative_composite_routing,CAB-Core,relative_reduction_vs_ClinVar_baseline,0.9669926122211877,0.964744226354198,0.9689800305952581,1000,within_domain
conservative_composite_routing,CAB-Core,false_restriction_rate,0.6323251061900923,0.6182247135007115,0.6477855402827761,1000,within_domain
conservative_composite_routing,CAB-Core,true_portable_allowed_direct_use_rate,0.36767489380990764,0.35221445971722387,0.38177528649928855,1000,within_domain
conservative_composite_routing,CAB-Conservative,unsupported_deterministic_reuse_rate,0.12994776426566887,0.126022450888681,0.13407109448082322,1000,within_domain
conservative_composite_routing,CAB-Conservative,absolute_reduction_vs_ClinVar_baseline,0.7268740505144996,0.7215715622076708,0.7321244153414407,1000,within_domain
conservative_composite_routing,CAB-Conservative,relative_reduction_vs_ClinVar_baseline,0.8483376169671487,0.8435451075819448,0.8528701841813837,1000,within_domain
conservative_composite_routing,CAB-Conservative,false_restriction_rate,0.0,0.0,0.0,1000,within_domain
conservative_composite_routing,CAB-Conservative,true_portable_allowed_direct_use_rate,1.0,1.0,1.0,1000,within_domain
