gene,N,classification_change_n,condition_label_change_n,cross_environment_drift_n,any_meaning_drift_n,self_loop_stable_n,mean_baseline_portability_score,classification_change_rate,condition_label_change_rate,cross_environment_drift_rate,any_meaning_drift_rate,self_loop_stable_rate
APC,1336,0,376,182,522,1154,78.1243,0.0,0.2814,0.1362,0.3907,0.8638
ATM,2237,0,1171,1008,1197,1229,47.5856,0.0,0.5235,0.4506,0.5351,0.5494
BMPR1A,202,0,41,20,46,182,73.3168,0.0,0.203,0.099,0.2277,0.901
BRCA1,3712,0,834,90,850,3622,68.285,0.0,0.2247,0.0242,0.229,0.9758
BRCA2,4415,0,1516,196,1545,4219,67.2455,0.0,0.3434,0.0444,0.3499,0.9556
CDH1,351,0,190,45,201,306,83.9886,0.0,0.5413,0.1282,0.5726,0.8718
CHEK2,618,0,187,86,223,532,59.835,0.0,0.3026,0.1392,0.3608,0.8608
EPCAM,60,0,3,3,3,57,85.8667,0.0,0.05,0.05,0.05,0.95
MLH1,1475,0,618,177,624,1298,66.9302,0.0,0.419,0.12,0.4231,0.88
MSH2,1736,0,654,372,659,1364,64.8652,0.0,0.3767,0.2143,0.3796,0.7857
MSH6,1437,0,791,579,794,858,62.325,0.0,0.5505,0.4029,0.5525,0.5971
MUTYH,227,0,73,18,83,209,85.0132,0.0,0.3216,0.0793,0.3656,0.9207
PALB2,919,0,356,210,416,709,60.3232,0.0,0.3874,0.2285,0.4527,0.7715
PMS2,725,0,370,280,373,445,64.9297,0.0,0.5103,0.3862,0.5145,0.6138
PTEN,602,0,251,56,252,546,68.9834,0.0,0.4169,0.093,0.4186,0.907
SMAD4,184,0,48,13,50,171,76.8913,0.0,0.2609,0.0707,0.2717,0.9293
STK11,248,0,34,15,37,233,70.4758,0.0,0.1371,0.0605,0.1492,0.9395
TP53,381,0,89,28,95,353,67.3045,0.0,0.2336,0.0735,0.2493,0.9265
