endpoint,comparison,base_model,full_model,LR_style_statistic_approx,p_value_approx,AUROC_base,AUROC_full,delta_AUROC,FDR_p_value_approx
condition_label_change,gene_vs_gene_plus_regime,M1_gene_only,M4_gene_plus_baseline_regime,401.3088,2.8577648834535716e-89,0.6556,0.7277,0.0721,3.760216951912594e-89
condition_label_change,gene_vs_gene_plus_regime_metadata,M1_gene_only,M6_gene_plus_baseline_regime_plus_metadata,500.6524,6.855220158556252e-111,0.6556,0.7422,0.0866,1.0081206115523901e-110
condition_label_change,metadata_vs_regime_metadata,M3_baseline_ClinVar_metadata_only,M5_baseline_regime_plus_metadata,606.8812,5.334544733383338e-134,0.612,0.7307,0.1187,8.89090788897223e-134
condition_label_change,gene_regime_vs_gene_regime_metadata,M4_gene_plus_baseline_regime,M6_gene_plus_baseline_regime_plus_metadata,99.3436,2.122827664039205e-23,0.7277,0.7422,0.0145,2.2112788167075052e-23
condition_label_change,null_vs_regime,M0_null,M2_baseline_regime_only,812.4536,1.0579136596300484e-178,0.5,0.7024,0.2024,2.034449345442401e-178
cross_environment_drift,gene_vs_gene_plus_regime,M1_gene_only,M4_gene_plus_baseline_regime,1761.6276,0.0,0.5743,0.8339,0.2596,0.0
cross_environment_drift,gene_vs_gene_plus_regime_metadata,M1_gene_only,M6_gene_plus_baseline_regime_plus_metadata,1891.4628,0.0,0.5743,0.8447,0.2704,0.0
cross_environment_drift,metadata_vs_regime_metadata,M3_baseline_ClinVar_metadata_only,M5_baseline_regime_plus_metadata,1702.6116,0.0,0.5339,0.8255,0.2916,0.0
cross_environment_drift,gene_regime_vs_gene_regime_metadata,M4_gene_plus_baseline_regime,M6_gene_plus_baseline_regime_plus_metadata,129.8352,4.452516083796933e-30,0.8339,0.8447,0.0108,5.05967736795106e-30
cross_environment_drift,null_vs_regime,M0_null,M2_baseline_regime_only,1541.3012,0.0,0.5,0.7713,0.2713,0.0
any_meaning_drift,gene_vs_gene_plus_regime,M1_gene_only,M4_gene_plus_baseline_regime,361.9648,1.0513748921900662e-80,0.6492,0.7156,0.0664,1.3142186152375827e-80
any_meaning_drift,gene_vs_gene_plus_regime_metadata,M1_gene_only,M6_gene_plus_baseline_regime_plus_metadata,461.3084,2.4955237068585044e-102,0.6492,0.7341,0.0849,3.4660051484145893e-102
any_meaning_drift,metadata_vs_regime_metadata,M3_baseline_ClinVar_metadata_only,M5_baseline_regime_plus_metadata,585.242,2.715487427494209e-129,0.5993,0.7229,0.1236,4.242949105459702e-129
any_meaning_drift,gene_regime_vs_gene_regime_metadata,M4_gene_plus_baseline_regime,M6_gene_plus_baseline_regime_plus_metadata,99.3436,2.122827664039205e-23,0.7156,0.7341,0.0185,2.2112788167075052e-23
any_meaning_drift,null_vs_regime,M0_null,M2_baseline_regime_only,754.4212,4.3860871181104394e-166,0.5,0.6951,0.1951,7.832298425197213e-166
within_environment_label_drift,gene_vs_gene_plus_regime,M1_gene_only,M4_gene_plus_baseline_regime,992.4524,7.849613656446664e-218,0.6893,0.8134,0.1241,1.6353361784263885e-217
within_environment_label_drift,gene_vs_gene_plus_regime_metadata,M1_gene_only,M6_gene_plus_baseline_regime_plus_metadata,1026.8784,2.5819468451154815e-225,0.6893,0.8155,0.1262,5.868061011626094e-225
within_environment_label_drift,metadata_vs_regime_metadata,M3_baseline_ClinVar_metadata_only,M5_baseline_regime_plus_metadata,1187.2052,3.681107476531186e-260,0.6445,0.8046,0.1601,9.202768691327966e-260
within_environment_label_drift,gene_regime_vs_gene_regime_metadata,M4_gene_plus_baseline_regime,M6_gene_plus_baseline_regime_plus_metadata,34.426,4.427688923887146e-09,0.8134,0.8155,0.0021,4.427688923887146e-09
within_environment_label_drift,null_vs_regime,M0_null,M2_baseline_regime_only,1613.104,0.0,0.5,0.8035,0.3035,0.0
self_loop_stable,gene_vs_gene_plus_regime,M1_gene_only,M4_gene_plus_baseline_regime,1761.6276,0.0,0.5743,0.8339,0.2596,0.0
self_loop_stable,gene_vs_gene_plus_regime_metadata,M1_gene_only,M6_gene_plus_baseline_regime_plus_metadata,1891.4628,0.0,0.5743,0.8447,0.2704,0.0
self_loop_stable,metadata_vs_regime_metadata,M3_baseline_ClinVar_metadata_only,M5_baseline_regime_plus_metadata,1702.6116,0.0,0.5339,0.8255,0.2916,0.0
self_loop_stable,gene_regime_vs_gene_regime_metadata,M4_gene_plus_baseline_regime,M6_gene_plus_baseline_regime_plus_metadata,129.8352,4.452516083796933e-30,0.8339,0.8447,0.0108,5.05967736795106e-30
self_loop_stable,null_vs_regime,M0_null,M2_baseline_regime_only,1541.3012,0.0,0.5,0.7713,0.2713,0.0
