model,endpoint,N,endpoint_positive_N,AUROC,AUPRC,Brier_score,calibration_slope,log_loss,AIC,BIC,pseudo_R2,AUROC_CI95_low,AUROC_CI95_high,cross_validated_AUROC_mean,cross_validated_AUROC_sd,cross_validated_AUROC_CI95_low,cross_validated_AUROC_CI95_high,model_features
M0_null_intercept_only,future_condition_label_drift,942,365,0.5,0.3875,0.25,0.0,0.6931,1309.89,1319.59,-0.0383,0.5,0.5,0.5,0.0,0.5,0.5,intercept_only
M1_gene_only,future_condition_label_drift,942,365,0.7659,0.6308,0.1896,1.0778,0.5668,1099.78,1177.35,0.1511,0.7406,0.8082,0.7465,0.0304,0.695,0.8003,gene
M2_CAB_features_only,future_condition_label_drift,942,365,0.7655,0.6397,0.1912,1.0258,0.5688,1107.69,1194.95,0.1479,0.7426,0.8074,0.7589,0.0288,0.6977,0.8147,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M3_ClinVar_metadata_only,future_condition_label_drift,942,365,0.5767,0.4479,0.2421,1.0025,0.6772,1293.82,1337.45,-0.0144,0.5484,0.6153,0.5725,0.0299,0.515,0.6275,baseline_review_category|baseline_submitter_count|baseline_clinical_group
M4_gene_plus_ClinVar_metadata,future_condition_label_drift,942,365,0.7954,0.7093,0.1821,1.0991,0.5464,1077.43,1193.79,0.1815,0.7696,0.8346,0.7756,0.0294,0.7181,0.8292,gene|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M5_CAB_plus_ClinVar_metadata,future_condition_label_drift,942,365,0.7803,0.6919,0.1882,1.0291,0.5597,1106.39,1232.43,0.1617,0.7523,0.8196,0.766,0.0304,0.7037,0.8245,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M6_gene_plus_CAB,future_condition_label_drift,942,365,0.8063,0.6901,0.1705,1.0916,0.5238,1052.81,1212.79,0.2154,0.7921,0.8466,0.7872,0.0283,0.7327,0.8431,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M7_gene_plus_CAB_plus_ClinVar_metadata,future_condition_label_drift,942,365,0.8238,0.7441,0.1672,1.1018,0.5128,1048.12,1246.88,0.2319,0.8064,0.8623,0.8002,0.0283,0.7468,0.8591,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M8_mixed_approx_CAB_metadata_gene_residual,future_condition_label_drift,942,365,0.8238,0.7441,0.1672,1.1018,0.5128,1048.12,1246.88,0.2319,0.8064,0.8623,0.8002,0.0283,0.7468,0.8591,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M9_mixed_approx_metadata_gene_residual,future_condition_label_drift,942,365,0.7954,0.7093,0.1821,1.0991,0.5464,1077.43,1193.79,0.1815,0.7696,0.8346,0.7756,0.0294,0.7181,0.8292,baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M10_mixed_approx_gene_random_intercept_only,future_condition_label_drift,942,365,0.7659,0.6308,0.1896,1.0778,0.5668,1099.78,1177.35,0.1511,0.7406,0.8082,0.7465,0.0304,0.695,0.8003,gene
M0_null_intercept_only,any_meaning_drift,942,424,0.5,0.4501,0.25,0.0,0.6931,1309.89,1319.59,-0.0072,0.5,0.5,0.5,0.0,0.5,0.5,intercept_only
M1_gene_only,any_meaning_drift,942,424,0.7453,0.6607,0.2013,1.0838,0.5908,1145.01,1222.57,0.1415,0.7219,0.7837,0.7291,0.035,0.6587,0.8094,gene
M2_CAB_features_only,any_meaning_drift,942,424,0.7328,0.6607,0.2043,1.0226,0.5976,1161.8,1249.06,0.1317,0.7053,0.771,0.7258,0.032,0.6635,0.7873,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M3_ClinVar_metadata_only,any_meaning_drift,942,424,0.6593,0.6385,0.2114,1.2669,0.5991,1146.66,1190.29,0.1295,0.6295,0.6914,0.657,0.0303,0.602,0.7145,baseline_review_category|baseline_submitter_count|baseline_clinical_group
M4_gene_plus_ClinVar_metadata,any_meaning_drift,942,424,0.8335,0.811,0.1628,1.1677,0.4918,974.6,1090.95,0.2853,0.8145,0.8635,0.8199,0.0306,0.7658,0.8786,gene|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M5_CAB_plus_ClinVar_metadata,any_meaning_drift,942,424,0.8207,0.8029,0.167,1.0972,0.5011,996.08,1122.13,0.2718,0.7977,0.8554,0.8135,0.0281,0.767,0.8637,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M6_gene_plus_CAB,any_meaning_drift,942,424,0.7869,0.7243,0.1861,1.0943,0.5568,1114.95,1274.94,0.1909,0.7663,0.8251,0.7662,0.0338,0.7031,0.8273,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M7_gene_plus_CAB_plus_ClinVar_metadata,any_meaning_drift,942,424,0.8574,0.8462,0.1493,1.1583,0.4602,949.0,1147.77,0.3313,0.8418,0.8878,0.8418,0.0278,0.7899,0.8972,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M8_mixed_approx_CAB_metadata_gene_residual,any_meaning_drift,942,424,0.8574,0.8462,0.1493,1.1583,0.4602,949.0,1147.77,0.3313,0.8418,0.8878,0.8418,0.0278,0.7899,0.8972,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M9_mixed_approx_metadata_gene_residual,any_meaning_drift,942,424,0.8335,0.811,0.1628,1.1677,0.4918,974.6,1090.95,0.2853,0.8145,0.8635,0.8199,0.0306,0.7658,0.8786,baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M10_mixed_approx_gene_random_intercept_only,any_meaning_drift,942,424,0.7453,0.6607,0.2013,1.0838,0.5908,1145.01,1222.57,0.1415,0.7219,0.7837,0.7291,0.035,0.6587,0.8094,gene
M0_null_intercept_only,semantic_drift_without_reclassification,942,320,0.5,0.3397,0.25,0.0,0.6931,1309.89,1319.59,-0.0816,0.5,0.5,0.5,0.0,0.5,0.5,intercept_only
M1_gene_only,semantic_drift_without_reclassification,942,320,0.7481,0.5698,0.2002,1.0859,0.5895,1142.68,1220.25,0.0801,0.7215,0.785,0.7333,0.0411,0.6625,0.8159,gene
M2_CAB_features_only,semantic_drift_without_reclassification,942,320,0.7513,0.5815,0.2005,1.0494,0.589,1145.72,1232.99,0.0809,0.7252,0.7904,0.7416,0.0356,0.6682,0.8107,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M3_ClinVar_metadata_only,semantic_drift_without_reclassification,942,320,0.6388,0.4288,0.2275,1.163,0.6326,1209.88,1253.51,0.0128,0.6067,0.6705,0.6339,0.0285,0.5814,0.6969,baseline_review_category|baseline_submitter_count|baseline_clinical_group
M4_gene_plus_ClinVar_metadata,semantic_drift_without_reclassification,942,320,0.8159,0.6724,0.1753,1.1485,0.5213,1030.12,1146.47,0.1865,0.7966,0.8496,0.8025,0.0333,0.7454,0.8686,gene|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M5_CAB_plus_ClinVar_metadata,semantic_drift_without_reclassification,942,320,0.8023,0.6526,0.18,1.0811,0.5323,1054.83,1180.88,0.1694,0.7774,0.8403,0.7928,0.0335,0.7174,0.8623,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M6_gene_plus_CAB,semantic_drift_without_reclassification,942,320,0.7949,0.6612,0.1812,1.1143,0.5458,1094.2,1254.18,0.1484,0.7809,0.8354,0.7775,0.037,0.704,0.8489,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only
M7_gene_plus_CAB_plus_ClinVar_metadata,semantic_drift_without_reclassification,942,320,0.8439,0.7238,0.1612,1.1513,0.4897,1004.56,1203.33,0.2359,0.8253,0.877,0.8244,0.0329,0.7597,0.8857,gene|primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group
M8_mixed_approx_CAB_metadata_gene_residual,semantic_drift_without_reclassification,942,320,0.8439,0.7238,0.1612,1.1513,0.4897,1004.56,1203.33,0.2359,0.8253,0.877,0.8244,0.0329,0.7597,0.8857,primary_regime|causal_architecture_category|is_disease_model_collision|single_model_repair_required|evidence_collision_index|failure_membership_count|CPI_baseline_only|baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M9_mixed_approx_metadata_gene_residual,semantic_drift_without_reclassification,942,320,0.8159,0.6724,0.1753,1.1485,0.5213,1030.12,1146.47,0.1865,0.7966,0.8496,0.8025,0.0333,0.7454,0.8686,baseline_review_category|baseline_submitter_count|baseline_clinical_group|gene
M10_mixed_approx_gene_random_intercept_only,semantic_drift_without_reclassification,942,320,0.7481,0.5698,0.2002,1.0859,0.5895,1142.68,1220.25,0.0801,0.7215,0.785,0.7333,0.0411,0.6625,0.8159,gene
