domain,endpoint_component,N,component_positive_N,baseline_unsupported_reuse_rate,cab_unsupported_reuse_rate,absolute_reduction,relative_reduction
all,condition_label_drift,26725,9868,0.3692422825070159,0.07457436856875585,0.2946679139382601,0.7980340494527767
all,cross_environment_drift,26725,3863,0.14454630495790458,0.027315247895229187,0.11723105706267539,0.8110276986797825
all,any_meaning_drift,26725,10320,0.386155285313377,0.08613657623947614,0.3000187090739009,0.7769379844961241
all,semantic_drift_without_reclassification,26725,9868,0.3692422825070159,0.07457436856875585,0.2946679139382601,0.7980340494527767
all,low_portability,26725,7536,0.28198316183348926,0.0,0.28198316183348926,1.0
all,multi_axis_failure,26725,12376,0.46308699719363894,0.03734331150608045,0.4257436856875585,0.919360051712993
all,domain_specific_regime_restriction,26725,21032,0.7869784845650141,0.08202057998129092,0.7049579045837231,0.8957778623050588
cardiomyopathy,condition_label_drift,4918,1901,0.3865392435949573,0.03924359495729972,0.34729564863765755,0.8984744871120462
cardiomyopathy,cross_environment_drift,4918,485,0.0986173241154941,0.004066693777958519,0.0945506303375356,0.9587628865979382
cardiomyopathy,any_meaning_drift,4918,1985,0.4036193574623831,0.04168361122407483,0.36193574623830826,0.8967254408060453
cardiomyopathy,semantic_drift_without_reclassification,4918,1901,0.3865392435949573,0.03924359495729972,0.34729564863765755,0.8984744871120462
cardiomyopathy,low_portability,4918,1986,0.403822692151281,0.0,0.403822692151281,1.0
cardiomyopathy,multi_axis_failure,4918,2316,0.47092313948759656,0.004066693777958519,0.466856445709638,0.9913644214162348
cardiomyopathy,domain_specific_regime_restriction,4918,4314,0.8771858479056527,0.0,0.8771858479056527,1.0
hereditary_cancer,condition_label_drift,20865,7602,0.3643421998562186,0.08531032830098251,0.27903187155523607,0.7658510918179426
hereditary_cancer,cross_environment_drift,20865,3378,0.1618979151689432,0.03402827701893123,0.12786963815001195,0.7898164594434576
hereditary_cancer,any_meaning_drift,20865,7970,0.3819793913251857,0.09954469206805655,0.28243469925712916,0.7393977415307402
hereditary_cancer,semantic_drift_without_reclassification,20865,7602,0.3643421998562186,0.08531032830098251,0.27903187155523607,0.7658510918179426
hereditary_cancer,low_portability,20865,5005,0.2398753894080997,0.0,0.2398753894080997,1.0
hereditary_cancer,multi_axis_failure,20865,9715,0.4656122693505871,0.04687275341480949,0.4187395159357776,0.8993309315491508
hereditary_cancer,domain_specific_regime_restriction,20865,16718,0.8012461059190031,0.10505631440210879,0.6961897915168943,0.8688838377796386
inherited_arrhythmia,condition_label_drift,942,365,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
inherited_arrhythmia,cross_environment_drift,942,0,0.0,0.0,0.0,
inherited_arrhythmia,any_meaning_drift,942,365,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
inherited_arrhythmia,semantic_drift_without_reclassification,942,365,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
inherited_arrhythmia,low_portability,942,545,0.578556263269639,0.0,0.578556263269639,1.0
inherited_arrhythmia,multi_axis_failure,942,345,0.3662420382165605,0.0,0.3662420382165605,1.0
inherited_arrhythmia,domain_specific_regime_restriction,942,0,0.0,0.0,0.0,
